order_id,order_date,customer_id,region,category,channel,unit_price,quantity,revenue,order_month,order_year,order_quarter
ORD-10395,2023-01-27,CUST-1252,Africa,Sports & Outdoors,Retail Partner,140.38,1,140.38,2023-01,2023,2023Q1
ORD-11834,2023-01-28,CUST-1092,North America,Office Supplies,Retail Partner,88.06,1,88.06,2023-01,2023,2023Q1
ORD-11054,2023-01-29,CUST-1441,North America,Electronics,Marketplace,537.74,1,537.74,2023-01,2023,2023Q1
ORD-10812,2023-01-29,CUST-1145,North America,Electronics,Online,799.93,1,799.93,2023-01,2023,2023Q1
ORD-11700,2023-01-30,CUST-1078,Europe,Electronics,Online,440.04,1,440.04,2023-01,2023,2023Q1
ORD-11527,2023-01-30,CUST-1125,Asia Pacific,Home & Kitchen,Marketplace,207.81,2,415.62,2023-01,2023,2023Q1
ORD-10681,2023-01-31,CUST-1460,North America,Apparel,Marketplace,16.3,2,32.6,2023-01,2023,2023Q1
ORD-10724,2023-01-31,CUST-1254,Europe,Home & Kitchen,Retail Partner,145.35,2,290.7,2023-01,2023,2023Q1
ORD-11214,2023-01-31,CUST-1455,North America,Apparel,Online,49.69,3,149.07,2023-01,2023,2023Q1
ORD-10134,2023-02-01,CUST-1386,Europe,Beauty & Personal Care,Marketplace,74.42,1,74.42,2023-02,2023,2023Q1
ORD-10963,2023-02-01,CUST-1338,Asia Pacific,Electronics,Retail Partner,533.82,1,533.82,2023-02,2023,2023Q1
ORD-10616,2023-02-01,CUST-1289,Middle East,Beauty & Personal Care,Marketplace,24.91,1,24.91,2023-02,2023,2023Q1
ORD-11759,2023-02-02,CUST-1257,Asia Pacific,Apparel,Online,130.16,1,130.16,2023-02,2023,2023Q1
ORD-10544,2023-02-02,CUST-1388,Asia Pacific,Electronics,Online,707.96,1,707.96,2023-02,2023,2023Q1
ORD-11588,2023-02-02,CUST-1487,Middle East,Office Supplies,Online,93.54,1,93.54,2023-02,2023,2023Q1
ORD-11069,2023-02-03,CUST-1276,North America,Home & Kitchen,Online,230.12,2,460.24,2023-02,2023,2023Q1
ORD-10622,2023-02-03,CUST-1152,Europe,Apparel,Online,75.93,1,75.93,2023-02,2023,2023Q1
ORD-10501,2023-02-04,CUST-1304,Asia Pacific,Electronics,Retail Partner,138.06,1,138.06,2023-02,2023,2023Q1
ORD-10726,2023-02-05,CUST-1076,North America,Apparel,Retail Partner,35.88,1,35.88,2023-02,2023,2023Q1
ORD-10827,2023-02-06,CUST-1377,North America,Beauty & Personal Care,Online,21.2,3,63.6,2023-02,2023,2023Q1
ORD-11778,2023-02-07,CUST-1388,Africa,Electronics,Marketplace,320.83,1,320.83,2023-02,2023,2023Q1
ORD-10984,2023-02-07,CUST-1108,North America,Apparel,Online,118.92,1,118.92,2023-02,2023,2023Q1
ORD-11351,2023-02-08,CUST-1017,North America,Apparel,Retail Partner,117.86,1,117.86,2023-02,2023,2023Q1
ORD-10461,2023-02-08,CUST-1273,Europe,Electronics,Online,633.24,1,633.24,2023-02,2023,2023Q1
ORD-10091,2023-02-09,CUST-1135,North America,Beauty & Personal Care,Online,62.92,1,62.92,2023-02,2023,2023Q1
ORD-10431,2023-02-09,CUST-1023,North America,Beauty & Personal Care,Online,58.55,2,117.1,2023-02,2023,2023Q1
ORD-11404,2023-02-10,CUST-1283,North America,Home & Kitchen,Online,246.68,1,246.68,2023-02,2023,2023Q1
ORD-10185,2023-02-10,CUST-1306,Asia Pacific,Electronics,Online,681.41,1,681.41,2023-02,2023,2023Q1
ORD-10079,2023-02-10,CUST-1407,Europe,Office Supplies,Online,56.72,3,170.16,2023-02,2023,2023Q1
ORD-10869,2023-02-10,CUST-1447,Europe,Apparel,Online,113.93,1,113.93,2023-02,2023,2023Q1
ORD-11241,2023-02-10,CUST-1376,Europe,Electronics,Retail Partner,210.23,1,210.23,2023-02,2023,2023Q1
ORD-10935,2023-02-11,CUST-1193,North America,Beauty & Personal Care,Marketplace,23.35,1,23.35,2023-02,2023,2023Q1
ORD-11458,2023-02-11,CUST-1022,North America,Electronics,Retail Partner,300.06,1,300.06,2023-02,2023,2023Q1
ORD-11236,2023-02-12,CUST-1397,North America,Electronics,Online,879.81,1,879.81,2023-02,2023,2023Q1
ORD-11184,2023-02-12,CUST-1268,North America,Electronics,Online,354.11,2,708.22,2023-02,2023,2023Q1
ORD-10620,2023-02-12,CUST-1421,Europe,Sports & Outdoors,Marketplace,72.01,1,72.01,2023-02,2023,2023Q1
ORD-10318,2023-02-12,CUST-1283,Europe,Electronics,Online,1061.85,4,4247.4,2023-02,2023,2023Q1
ORD-11845,2023-02-12,CUST-1231,North America,Sports & Outdoors,Online,32.75,1,32.75,2023-02,2023,2023Q1
ORD-10301,2023-02-13,CUST-1441,Africa,Electronics,Online,190.2,1,190.2,2023-02,2023,2023Q1
ORD-10377,2023-02-13,CUST-1228,Asia Pacific,Home & Kitchen,Retail Partner,163.36,1,163.36,2023-02,2023,2023Q1
ORD-10786,2023-02-13,CUST-1064,Europe,Office Supplies,Online,92.31,1,92.31,2023-02,2023,2023Q1
ORD-11551,2023-02-13,CUST-1220,North America,Beauty & Personal Care,Online,31.35,1,31.35,2023-02,2023,2023Q1
ORD-10337,2023-02-14,CUST-1224,Asia Pacific,Electronics,Online,371.38,2,742.76,2023-02,2023,2023Q1
ORD-10361,2023-02-14,CUST-1240,Africa,Electronics,Retail Partner,444.12,1,444.12,2023-02,2023,2023Q1
ORD-10367,2023-02-14,CUST-1103,Europe,Electronics,Retail Partner,1108.25,1,1108.25,2023-02,2023,2023Q1
ORD-10008,2023-02-14,CUST-1413,Europe,Electronics,Marketplace,948.15,3,2844.45,2023-02,2023,2023Q1
ORD-10596,2023-02-15,CUST-1153,North America,Apparel,Retail Partner,78.96,1,78.96,2023-02,2023,2023Q1
ORD-11300,2023-02-15,CUST-1477,North America,Electronics,Marketplace,433.04,1,433.04,2023-02,2023,2023Q1
ORD-10502,2023-02-15,CUST-1125,North America,Home & Kitchen,Retail Partner,93.5,2,187.0,2023-02,2023,2023Q1
ORD-11820,2023-02-16,CUST-1276,Africa,Apparel,Online,13.55,2,27.1,2023-02,2023,2023Q1
ORD-10848,2023-02-16,CUST-1033,Unknown,Electronics,Online,139.07,2,278.14,2023-02,2023,2023Q1
ORD-10409,2023-02-16,CUST-1041,Europe,Electronics,Online,781.38,1,781.38,2023-02,2023,2023Q1
ORD-11423,2023-02-16,CUST-1109,Europe,Sports & Outdoors,Retail Partner,208.77,2,417.54,2023-02,2023,2023Q1
ORD-11301,2023-02-17,CUST-1239,Africa,Sports & Outdoors,Online,155.245,1,155.24,2023-02,2023,2023Q1
ORD-10906,2023-02-17,CUST-1212,North America,Sports & Outdoors,Online,256.27,1,256.27,2023-02,2023,2023Q1
ORD-10929,2023-02-18,CUST-1340,Africa,Electronics,Retail Partner,1180.38,2,2360.76,2023-02,2023,2023Q1
ORD-10370,2023-02-18,CUST-1399,Africa,Apparel,Online,43.87,1,43.87,2023-02,2023,2023Q1
ORD-11492,2023-02-18,CUST-1432,North America,Apparel,Online,55.18,1,55.18,2023-02,2023,2023Q1
ORD-11534,2023-02-19,CUST-1182,Asia Pacific,Electronics,Online,849.39,2,1698.78,2023-02,2023,2023Q1
ORD-10909,2023-02-19,CUST-1376,Africa,Electronics,Online,517.83,3,1553.49,2023-02,2023,2023Q1
ORD-10232,2023-02-20,CUST-1381,North America,Apparel,Online,126.04,1,126.04,2023-02,2023,2023Q1
ORD-11242,2023-02-20,CUST-1322,North America,Apparel,Marketplace,149.85,1,149.85,2023-02,2023,2023Q1
ORD-10418,2023-02-21,CUST-1049,Asia Pacific,Sports & Outdoors,Online,267.37,1,267.37,2023-02,2023,2023Q1
ORD-10807,2023-02-21,CUST-1233,Europe,Electronics,Online,519.28,3,1557.84,2023-02,2023,2023Q1
ORD-10889,2023-02-21,CUST-1142,Middle East,Office Supplies,Online,58.37,2,116.74,2023-02,2023,2023Q1
ORD-10938,2023-02-22,CUST-1305,Europe,Electronics,Retail Partner,732.33,1,732.33,2023-02,2023,2023Q1
ORD-11255,2023-02-22,CUST-1364,North America,Electronics,Online,640.22,2,1280.44,2023-02,2023,2023Q1
ORD-11741,2023-02-22,CUST-1200,Europe,Beauty & Personal Care,Online,79.53,2,159.06,2023-02,2023,2023Q1
ORD-10074,2023-02-22,CUST-1464,Asia Pacific,Office Supplies,Marketplace,76.08,1,76.08,2023-02,2023,2023Q1
ORD-10282,2023-02-22,CUST-1468,Europe,Electronics,Online,156.35,1,156.35,2023-02,2023,2023Q1
ORD-11655,2023-02-23,CUST-1014,Asia Pacific,Electronics,Online,83.5,1,83.5,2023-02,2023,2023Q1
ORD-10690,2023-02-23,CUST-1344,Europe,Electronics,Online,1011.3,2,2022.6,2023-02,2023,2023Q1
ORD-11442,2023-02-23,CUST-1379,North America,Apparel,Online,72.85,1,72.85,2023-02,2023,2023Q1
ORD-10347,2023-02-24,CUST-1212,Europe,Sports & Outdoors,Online,159.39,1,159.39,2023-02,2023,2023Q1
ORD-11690,2023-02-24,CUST-1225,North America,Home & Kitchen,Marketplace,108.43,1,108.43,2023-02,2023,2023Q1
ORD-11824,2023-02-24,CUST-1295,Europe,Beauty & Personal Care,Online,74.68,1,74.68,2023-02,2023,2023Q1
ORD-10165,2023-02-25,CUST-1023,Asia Pacific,Beauty & Personal Care,Online,49.27,1,49.27,2023-02,2023,2023Q1
ORD-11643,2023-02-25,CUST-1339,Europe,Electronics,Marketplace,664.19,3,1992.57,2023-02,2023,2023Q1
ORD-10970,2023-02-25,CUST-1436,Asia Pacific,Home & Kitchen,Retail Partner,186.99,1,186.99,2023-02,2023,2023Q1
ORD-10886,2023-02-25,CUST-1313,North America,Office Supplies,Online,59.24,1,59.24,2023-02,2023,2023Q1
ORD-10736,2023-02-27,CUST-1417,Europe,Electronics,Online,278.33,1,278.33,2023-02,2023,2023Q1
ORD-10503,2023-02-27,CUST-1442,North America,Sports & Outdoors,Online,141.17,1,141.17,2023-02,2023,2023Q1
ORD-11286,2023-02-27,CUST-1475,North America,Office Supplies,Online,98.6,1,98.6,2023-02,2023,2023Q1
ORD-10824,2023-02-28,CUST-1123,Asia Pacific,Office Supplies,Retail Partner,74.94,2,149.88,2023-02,2023,2023Q1
ORD-11552,2023-03-02,CUST-1303,Africa,Home & Kitchen,Retail Partner,38.48,2,76.96,2023-03,2023,2023Q1
ORD-10745,2023-03-02,CUST-1165,Asia Pacific,Office Supplies,Online,37.48,1,37.48,2023-03,2023,2023Q1
ORD-10460,2023-03-02,CUST-1330,North America,Electronics,Retail Partner,581.39,1,581.39,2023-03,2023,2023Q1
ORD-10053,2023-03-02,CUST-1205,North America,Electronics,Online,880.35,1,880.35,2023-03,2023,2023Q1
ORD-10042,2023-03-02,CUST-1323,Asia Pacific,Home & Kitchen,Online,145.85,3,437.55,2023-03,2023,2023Q1
ORD-10630,2023-03-02,CUST-1210,Europe,Home & Kitchen,Online,209.24,2,418.48,2023-03,2023,2023Q1
ORD-10531,2023-03-02,CUST-1490,Europe,Home & Kitchen,Marketplace,200.48,1,200.48,2023-03,2023,2023Q1
ORD-11204,2023-03-03,CUST-1087,Asia Pacific,Office Supplies,Marketplace,13.67,3,41.01,2023-03,2023,2023Q1
ORD-10668,2023-03-03,CUST-1020,Africa,Electronics,Online,518.94,1,518.94,2023-03,2023,2023Q1
ORD-11847,2023-03-03,CUST-1000,Europe,Apparel,Retail Partner,64.88,2,129.76,2023-03,2023,2023Q1
ORD-10534,2023-03-03,CUST-1191,Africa,Sports & Outdoors,Marketplace,155.245,1,155.24,2023-03,2023,2023Q1
ORD-10280,2023-03-03,CUST-1284,Europe,Office Supplies,Retail Partner,82.78,1,82.78,2023-03,2023,2023Q1
ORD-10780,2023-03-04,CUST-1283,North America,Electronics,Marketplace,414.07,2,828.14,2023-03,2023,2023Q1
ORD-10320,2023-03-05,CUST-1077,Africa,Electronics,Retail Partner,478.15,2,956.3,2023-03,2023,2023Q1
ORD-10474,2023-03-05,CUST-1120,Europe,Home & Kitchen,Retail Partner,73.99,1,73.99,2023-03,2023,2023Q1
ORD-10704,2023-03-05,CUST-1290,Europe,Beauty & Personal Care,Online,53.07,1,53.07,2023-03,2023,2023Q1
ORD-11486,2023-03-06,CUST-1096,Europe,Sports & Outdoors,Online,179.84,1,179.84,2023-03,2023,2023Q1
ORD-10638,2023-03-06,CUST-1183,Asia Pacific,Electronics,Online,985.41,2,1970.82,2023-03,2023,2023Q1
ORD-10248,2023-03-06,CUST-1331,Europe,Home & Kitchen,Online,102.71,1,102.71,2023-03,2023,2023Q1
ORD-10603,2023-03-06,CUST-1407,Asia Pacific,Electronics,Retail Partner,326.96,1,326.96,2023-03,2023,2023Q1
ORD-10355,2023-03-06,CUST-1234,North America,Electronics,Retail Partner,670.69,2,1341.38,2023-03,2023,2023Q1
ORD-10040,2023-03-07,CUST-1115,Middle East,Office Supplies,Marketplace,38.91,1,38.91,2023-03,2023,2023Q1
ORD-10025,2023-03-07,CUST-1305,Asia Pacific,Electronics,Online,628.19,4,2512.76,2023-03,2023,2023Q1
ORD-11037,2023-03-07,CUST-1045,North America,Home & Kitchen,Online,162.63,1,162.63,2023-03,2023,2023Q1
ORD-11574,2023-03-08,CUST-1086,Europe,Electronics,Marketplace,881.99,1,881.99,2023-03,2023,2023Q1
ORD-11553,2023-03-09,CUST-1022,Africa,Beauty & Personal Care,Online,71.35,1,71.35,2023-03,2023,2023Q1
ORD-10674,2023-03-09,CUST-1329,Europe,Home & Kitchen,Online,147.59,2,295.18,2023-03,2023,2023Q1
ORD-10533,2023-03-11,CUST-1118,North America,Home & Kitchen,Retail Partner,133.24,1,133.24,2023-03,2023,2023Q1
ORD-11582,2023-03-11,CUST-1425,Europe,Electronics,Retail Partner,599.99,1,599.99,2023-03,2023,2023Q1
ORD-10059,2023-03-11,CUST-1304,North America,Apparel,Online,92.01,3,276.03,2023-03,2023,2023Q1
ORD-11117,2023-03-12,CUST-1436,Europe,Home & Kitchen,Online,207.22,2,414.44,2023-03,2023,2023Q1
ORD-11045,2023-03-12,CUST-1360,Europe,Office Supplies,Online,56.29,1,56.29,2023-03,2023,2023Q1
ORD-11399,2023-03-13,CUST-1415,Asia Pacific,Beauty & Personal Care,Retail Partner,38.74,2,77.48,2023-03,2023,2023Q1
ORD-11156,2023-03-14,CUST-1310,North America,Beauty & Personal Care,Online,28.25,2,56.5,2023-03,2023,2023Q1
ORD-11414,2023-03-15,CUST-1119,Africa,Beauty & Personal Care,Online,43.54,1,43.54,2023-03,2023,2023Q1
ORD-10517,2023-03-16,CUST-1447,Asia Pacific,Home & Kitchen,Online,117.08,2,234.16,2023-03,2023,2023Q1
ORD-10064,2023-03-16,CUST-1384,Africa,Sports & Outdoors,Online,69.68,2,139.36,2023-03,2023,2023Q1
ORD-10228,2023-03-17,CUST-1080,North America,Electronics,Marketplace,282.69,2,565.38,2023-03,2023,2023Q1
ORD-10427,2023-03-17,CUST-1147,North America,Electronics,Online,410.73,1,410.73,2023-03,2023,2023Q1
ORD-10561,2023-03-17,CUST-1365,Europe,Electronics,Online,858.0,1,858.0,2023-03,2023,2023Q1
ORD-10315,2023-03-17,CUST-1259,North America,Home & Kitchen,Marketplace,62.95,1,62.95,2023-03,2023,2023Q1
ORD-10934,2023-03-18,CUST-1349,North America,Apparel,Marketplace,134.72,1,134.72,2023-03,2023,2023Q1
ORD-10216,2023-03-18,CUST-1079,North America,Electronics,Retail Partner,871.25,1,871.25,2023-03,2023,2023Q1
ORD-10720,2023-03-18,CUST-1469,Europe,Office Supplies,Retail Partner,49.68,2,99.36,2023-03,2023,2023Q1
ORD-10634,2023-03-19,CUST-1231,North America,Office Supplies,Online,36.71,1,36.71,2023-03,2023,2023Q1
ORD-11387,2023-03-19,CUST-1479,North America,Home & Kitchen,Online,208.95,1,208.95,2023-03,2023,2023Q1
ORD-11607,2023-03-19,CUST-1433,Europe,Electronics,Online,832.93,2,1665.86,2023-03,2023,2023Q1
ORD-11720,2023-03-20,CUST-1282,Europe,Electronics,Marketplace,112.07,1,112.07,2023-03,2023,2023Q1
ORD-10384,2023-03-20,CUST-1390,Asia Pacific,Home & Kitchen,Online,160.01,1,160.01,2023-03,2023,2023Q1
ORD-11178,2023-03-21,CUST-1111,North America,Electronics,Online,564.33,1,564.33,2023-03,2023,2023Q1
ORD-10333,2023-03-21,CUST-1079,North America,Home & Kitchen,Online,73.04,2,146.08,2023-03,2023,2023Q1
ORD-10689,2023-03-21,CUST-1138,Europe,Electronics,Retail Partner,442.35,1,442.35,2023-03,2023,2023Q1
ORD-10116,2023-03-21,CUST-1225,North America,Apparel,Online,77.36,1,77.36,2023-03,2023,2023Q1
ORD-10482,2023-03-21,CUST-1185,Asia Pacific,Apparel,Online,132.62,1,132.62,2023-03,2023,2023Q1
ORD-10997,2023-03-21,CUST-1427,Middle East,Electronics,Online,95.7,1,95.7,2023-03,2023,2023Q1
ORD-10514,2023-03-22,CUST-1331,Africa,Beauty & Personal Care,Online,6.15,1,6.15,2023-03,2023,2023Q1
ORD-10404,2023-03-22,CUST-1145,North America,Sports & Outdoors,Online,287.66,1,287.66,2023-03,2023,2023Q1
ORD-10541,2023-03-22,CUST-1203,Europe,Home & Kitchen,Marketplace,163.38,1,163.38,2023-03,2023,2023Q1
ORD-10012,2023-03-23,CUST-1148,North America,Sports & Outdoors,Retail Partner,224.12,2,448.24,2023-03,2023,2023Q1
ORD-11114,2023-03-23,CUST-1134,Africa,Electronics,Online,473.91,1,473.91,2023-03,2023,2023Q1
ORD-10375,2023-03-23,CUST-1052,North America,Sports & Outdoors,Retail Partner,252.2,2,504.4,2023-03,2023,2023Q1
ORD-10543,2023-03-24,CUST-1350,Europe,Sports & Outdoors,Online,162.19,1,162.19,2023-03,2023,2023Q1
ORD-11124,2023-03-24,CUST-1169,Europe,Office Supplies,Retail Partner,10.19,4,40.76,2023-03,2023,2023Q1
ORD-11428,2023-03-24,CUST-1249,Europe,Electronics,Online,514.3,1,514.3,2023-03,2023,2023Q1
ORD-11800,2023-03-25,CUST-1210,Europe,Sports & Outdoors,Online,283.86,4,1135.44,2023-03,2023,2023Q1
ORD-10175,2023-03-25,CUST-1338,Asia Pacific,Apparel,Marketplace,121.83,4,487.32,2023-03,2023,2023Q1
ORD-10061,2023-03-25,CUST-1317,Middle East,Sports & Outdoors,Online,39.42,1,39.42,2023-03,2023,2023Q1
ORD-10348,2023-03-25,CUST-1197,Asia Pacific,Home & Kitchen,Retail Partner,241.65,1,241.65,2023-03,2023,2023Q1
ORD-10481,2023-03-25,CUST-1305,Europe,Home & Kitchen,Marketplace,211.42,1,211.42,2023-03,2023,2023Q1
ORD-11188,2023-03-26,CUST-1172,Europe,Office Supplies,Online,47.7,1,47.7,2023-03,2023,2023Q1
ORD-11361,2023-03-26,CUST-1248,North America,Beauty & Personal Care,Online,19.61,2,39.22,2023-03,2023,2023Q1
ORD-11099,2023-03-28,CUST-1079,Asia Pacific,Electronics,Online,362.24,2,724.48,2023-03,2023,2023Q1
ORD-11786,2023-03-28,CUST-1154,North America,Electronics,Online,351.4,1,351.4,2023-03,2023,2023Q1
ORD-10702,2023-03-28,CUST-1234,Europe,Electronics,Retail Partner,998.48,1,998.48,2023-03,2023,2023Q1
ORD-10593,2023-03-29,CUST-1471,North America,Home & Kitchen,Online,208.26,1,208.26,2023-03,2023,2023Q1
ORD-11010,2023-03-29,CUST-1484,Europe,Home & Kitchen,Online,149.6,1,149.6,2023-03,2023,2023Q1
ORD-11572,2023-03-29,CUST-1346,Africa,Home & Kitchen,Online,84.64,2,169.28,2023-03,2023,2023Q1
ORD-11198,2023-03-29,CUST-1436,Unknown,Apparel,Retail Partner,78.1,1,78.1,2023-03,2023,2023Q1
ORD-11755,2023-03-30,CUST-1383,Asia Pacific,Beauty & Personal Care,Marketplace,9.06,1,9.06,2023-03,2023,2023Q1
ORD-11384,2023-03-30,CUST-1061,North America,Electronics,Online,458.28,1,458.28,2023-03,2023,2023Q1
ORD-10657,2023-03-30,CUST-1111,North America,Home & Kitchen,Online,18.9,1,18.9,2023-03,2023,2023Q1
ORD-10623,2023-03-31,CUST-1418,Asia Pacific,Apparel,Marketplace,124.44,2,248.88,2023-03,2023,2023Q1
ORD-11264,2023-03-31,CUST-1471,Europe,Beauty & Personal Care,Online,59.8,1,59.8,2023-03,2023,2023Q1
ORD-10842,2023-04-01,CUST-1402,North America,Electronics,Online,817.3,1,817.3,2023-04,2023,2023Q2
ORD-10756,2023-04-01,CUST-1453,Europe,Apparel,Online,22.29,1,22.29,2023-04,2023,2023Q2
ORD-11433,2023-04-01,CUST-1486,Europe,Apparel,Online,109.98,2,219.96,2023-04,2023,2023Q2
ORD-10193,2023-04-01,CUST-1232,Asia Pacific,Electronics,Marketplace,224.33,1,224.33,2023-04,2023,2023Q2
ORD-10652,2023-04-02,CUST-1196,North America,Office Supplies,Marketplace,41.33,2,82.66,2023-04,2023,2023Q2
