order_id,order_date,customer_id,region,category,channel,unit_price,quantity
ORD-11072,2024-01-24,CUST-1107,Asia Pacific,Apparel,Retail Partner,88.7,1
ORD-10892,10-31-2024,CUST-1254,North America,apparel,Online,66.79,1
ORD-11647,19/09/2023,CUST-1469,Europe,Office Supplies,Online,68.32,2
ORD-10779,2024-02-28,CUST-1277,Europe,Sports & Outdoors,Online,289.2,1
ORD-10377,13/02/2023,CUST-1228,Asia Pacific,Home & Kitchen,Retail Partner,163.36,1
ORD-11578,2024-10-21,CUST-1410,Europe,Home & Kitchen,Online,177.13,2
ORD-10860,04-18-2023,CUST-1214,Africa,Electronics,Online,604.78,1
ORD-10396,18/07/2024,CUST-1239,N. America,Sports & Outdoors,Online,243.55,2
ORD-11577,08-18-2024,CUST-1365,Africa,Apparel,Marketplace,143.65,2
ORD-11120,2023-01-23,CUST-1273,Asia Pacific,Electronics,Marketplace,558.99,1
ORD-10888,2024-05-18,CUST-1038,Europe,Apparel,Online,54.3,1
ORD-10479,2024-07-16,CUST-1359,Asia Pacific,Home & Kitchen,Online,63.1,1
ORD-11684,2023-05-16,CUST-1239,Africa,Electronics,Online,653.33,1
ORD-11447,2024-08-22,CUST-1241,North America,Apparel,Online,91.97,1
ORD-11138,10-22-2024,CUST-1182,Africa,Home & Kitchen,Marketplace,35.92,1
ORD-10918,04/12/2024,CUST-1148,North America,Home & Kitchen,Online,233.02,3
ORD-10419,13/06/2023,CUST-1127,Africa,Office Supplies,Online,49.25,1
ORD-11330,23/05/2023,CUST-1418,North America,Electronics,Retail Partner,326.09,1
ORD-11730,2023-01-14,CUST-1059,Asia Pacific,Beauty & Personal Care,Online,69.66,2
ORD-11638,10-09-2023,CUST-1109,Asia Pacific,Beauty & Personal Care,Online,72.16,1
ORD-10638,2023-03-06,CUST-1183,Asia Pacific,Electronics,Online,985.41,2
ORD-10683,2024-01-04,CUST-1261,North America,electronics,Retail Partner,557.57,1
ORD-10643,2023-06-11,CUST-1475,Europe,SPORTS & OUTDOORS,Marketplace,191.31,1
ORD-11766,2023-05-01,CUST-1322,,Apparel,Online,76.35,1
ORD-11705,2024-09-08,CUST-1280,Europe,Home & Kitchen,Marketplace,126.33,2
ORD-11368,2024-03-26,CUST-1338,North America,Electronics,Online,932.05,1
ORD-10871,2023-05-22,CUST-1004,Europe,Sports & Outdoors,Online,187.39,1
ORD-11556,2023-10-12,CUST-1482,Africa,Office Supplies,Online,47.71,1
ORD-11681,2024-02-09,CUST-1154,Africa,Home & Kitchen,Retail Partner,68.35,1
ORD-10438,2024-08-15,CUST-1335,Europe,Home & Kitchen,Retail Partner,180.41,1
ORD-10553,2023-09-04,CUST-1288,Asia Pacific,Beauty & Personal Care,Online,9.98,2
ORD-11739,2024-12-20,CUST-1078,Asia Pacific,HOME & KITCHEN,Online,132.67,1
ORD-11726,29/09/2023,CUST-1413,Asia Pacific,Home & Kitchen,Online,,2
ORD-10140,2024-11-24,CUST-1294,North America,Beauty & Personal Care,Online,77.08,1
ORD-10754,2024-09-18,CUST-1471,Asia Pacific,Home & Kitchen,Retail Partner,229.56,1
ORD-10412,04/10/2024,CUST-1455,Asia Pacific,Beauty & Personal Care,Online,70.25,1
ORD-10281,2024-11-17,CUST-1168,Asia Pacific,Apparel,Retail Partner,117.07,3
ORD-10241,2023-12-13,CUST-1445,Africa,Sports & Outdoors,Marketplace,211.31,1
ORD-11351,2023-02-08,CUST-1017,North America,Apparel,Retail Partner,117.86,1
ORD-11618,2024-09-21,CUST-1414,Europe,Apparel,Online,130.35,1
ORD-11707,02/08/2023,CUST-1436,Europe,Home & Kitchen,Online,242.24,1
ORD-10841,22/06/2023,CUST-1389,Europe,Apparel,Online,82.7,1
ORD-10717,2023-01-13,CUST-1062,Asia Pacific,apparel,Marketplace,21.23,1
ORD-10835,2024-09-27,CUST-1483,North America,beauty & personal care,Online,52.65,1
ORD-11557,27/05/2024,CUST-1082,Asia Pacific,Beauty & Personal Care,Online,79.88,2
ORD-10229,2024-03-10,CUST-1327,North America,Sports & Outdoors,Online,164.15,1
ORD-10765,2023-04-06,CUST-1482,Europe,Electronics,Online,429.65,1
ORD-10426,06/08/2024,CUST-1026,Europe,Home & Kitchen,Online,132.65,2
ORD-10185,2023-02-10,CUST-1306,Asia Pacific,Electronics,Online,681.41,1
ORD-10619,2024-07-10,CUST-1396,Middle East,Home & Kitchen,Online,33.55,1
ORD-11523,2023-08-18,CUST-1237,Europe,apparel,Online,37.77,3
ORD-10058,2024-06-04,CUST-1491,Europe,Apparel,Online,129.91,1
ORD-11773,06-26-2024,CUST-1385,Asia Pacific,Electronics,Retail Partner,1081.62,1
ORD-10454,2023-05-21,CUST-1139,Europe,Home & Kitchen,Online,68.64,1
ORD-10441,2024-12-18,CUST-1485,Middle East,Apparel,Online,74.08,2
ORD-11094,2024-08-24,CUST-1382,North America,Home & Kitchen,Retail Partner,146.63,1
ORD-10386,10/07/2023,CUST-1376,North America,Home & Kitchen,Online,111.59,2
ORD-11777,2024-02-16,CUST-1161,APAC,Home & Kitchen,Retail Partner,47.71,1
ORD-10565,02-22-2024,CUST-1262,Europe,Sports & Outdoors,Marketplace,111.08,2
ORD-11298,2023-07-30,CUST-1067,North America,Apparel,Online,40.7,1
ORD-11241,2023-02-10,CUST-1376,Europe,Electronics,Retail Partner,210.23,1
ORD-10795,15/09/2024,CUST-1292,North America,Home & Kitchen,Online,207.43,1
ORD-11210,2024-04-13,CUST-1256,N. America,Electronics,Retail Partner,80.45,2
ORD-10299,2023-01-08,CUST-1061,North America,Electronics,Retail Partner,160.73,1
ORD-10732,2023-01-27,CUST-1092,Africa,Electronics,Marketplace,1023.23,1
ORD-11316,2024-11-12,CUST-1469,Africa,APPAREL,Online,133.89,3
ORD-10879,2024-09-18,CUST-1183,Europe,electronics,Online,452.66,3
ORD-10051,2024-07-07,CUST-1333,Europe,Home & Kitchen,Retail Partner,78.65,1
ORD-11499,05-05-2023,CUST-1154,North America,Apparel,Online,146.88,1
ORD-11791,2024-03-08,CUST-1371,APAC,Sports & Outdoors,Online,24.3,1
ORD-11212,2023-12-22,CUST-1009,Africa,Electronics,Online,1060.01,1
ORD-10415,2023-11-17,CUST-1073,North America,Electronics,Retail Partner,512.93,1
ORD-11665,18/09/2024,CUST-1331,Europe,Home & Kitchen,Online,207.4,1
ORD-11674,01-14-2024,CUST-1127,APAC,Apparel,Online,10.13,2
ORD-10007,2023-12-11,CUST-1490,North America,Sports & Outdoors,Online,205.51,3
ORD-11324,2023-08-30,CUST-1355,Europe,Electronics,Retail Partner,896.33,3
ORD-11340,2024-02-20,CUST-1195,Middle East,Electronics,Online,869.67,1
ORD-11229,2024-12-05,CUST-1040,,Electronics,Online,531.12,1
ORD-11651,05-18-2024,CUST-1399,Asia Pacific,Electronics,Online,114.07,1
ORD-11271,2024-09-18,CUST-1107,Asia Pacific,home & kitchen,Marketplace,191.41,1
ORD-10674,2023-03-09,CUST-1329,Europe,Home & Kitchen,Online,147.59,2
ORD-11832,2023-05-28,CUST-1146,Asia Pacific,Apparel,Marketplace,60.32,2
ORD-10237,04-03-2023,CUST-1067,North America,Electronics,Marketplace,1160.93,1
ORD-11796,2024-06-30,CUST-1340,North America,Beauty & Personal Care,Retail Partner,20.19,3
ORD-11195,2023-06-23,CUST-1156,Europe,Sports & Outdoors,Online,229.92,1
ORD-11286,02-27-2023,CUST-1475,North America,Office Supplies,Online,98.6,1
ORD-11844,2023-09-09,CUST-1086,North America,Electronics,Online,454.91,1
ORD-11247,07-03-2023,CUST-1012,Europe,Apparel,Online,,1
ORD-10905,15/07/2023,CUST-1234,Africa,Electronics,Retail Partner,151.79,1
ORD-11687,27/09/2023,CUST-1448,Asia Pacific,Beauty & Personal Care,Online,66.58,1
ORD-10872,2024-03-24,CUST-1183,Africa,Home & Kitchen,Online,16.73,1
ORD-10350,2024-04-28,CUST-1469,Asia Pacific,Apparel,Online,107.43,2
ORD-10953,2023-07-30,CUST-1053,North America,Electronics,Online,553.7,2
ORD-11653,2023-09-25,CUST-1357,North America,Home & Kitchen,Online,219.43,1
ORD-10430,2023-05-28,CUST-1386,North America,Sports & Outdoors,Online,145.82,1
ORD-11574,2023-03-08,CUST-1086,Europe,Electronics,Marketplace,881.99,1
ORD-10688,2024-11-02,CUST-1283,North America,Electronics,Online,324.04,1
ORD-11620,01-09-2024,CUST-1102,Asia Pacific,Home & Kitchen,Retail Partner,187.94,1
ORD-10594,18/12/2023,CUST-1159,Europe,Beauty & Personal Care,Retail Partner,55.04,2
ORD-10955,2023-01-25,CUST-1078,APAC,Home & Kitchen,Retail Partner,141.26,1
ORD-11252,2024-06-07,CUST-1499,North America,Electronics,Retail Partner,999.05,1
ORD-10611,2023-06-27,CUST-1330,Asia Pacific,Electronics,Online,582.92,1
ORD-11494,2023-06-29,CUST-1498,Europe,Beauty & Personal Care,Retail Partner,60.22,1
ORD-11146,2024-07-08,CUST-1134,North America,ELECTRONICS,Retail Partner,377.46,2
ORD-11516,24/08/2024,CUST-1427,North America,Electronics,Marketplace,503.58,1
ORD-10635,2023-10-12,CUST-1263,Africa,Home & Kitchen,Online,159.28,1
ORD-10278,30/04/2024,CUST-1351,North America,sports & outdoors,Online,265.83,2
ORD-10694,2023-09-06,CUST-1318,Africa,Home & Kitchen,Online,37.32,1
ORD-10206,15/12/2023,CUST-1212,Asia Pacific,Home & Kitchen,Marketplace,58.6,2
ORD-11062,25/09/2024,CUST-1127,Asia Pacific,Sports & Outdoors,Online,31.04,2
ORD-11481,23/10/2023,CUST-1091,Africa,Beauty & Personal Care,Online,12.47,1
ORD-10339,2023-09-02,CUST-1273,Africa,Home & Kitchen,Online,50.54,1
ORD-11752,2024-03-02,CUST-1199,Europe,Home & Kitchen,Retail Partner,131.12,1
ORD-10704,2023-03-05,CUST-1290,Europe,Beauty & Personal Care,Online,53.07,1
ORD-10363,2024-10-05,CUST-1336,Africa,Apparel,Online,39.77,1
ORD-11542,2023-07-12,CUST-1425,North America,Home & Kitchen,Retail Partner,91.9,1
ORD-11015,22/04/2023,CUST-1067,Europe,beauty & personal care,Online,47.28,1
ORD-11168,2024-01-16,CUST-1166,North America,Electronics,Online,982.61,1
ORD-10200,19/07/2024,CUST-1007,Asia Pacific,Electronics,Online,442.44,1
ORD-10313,27/11/2023,CUST-1319,N. America,Apparel,Retail Partner,132.27,1
ORD-11491,10/11/2023,CUST-1459,Asia Pacific,Office Supplies,Online,58.97,3
ORD-10372,2024-01-31,CUST-1489,Asia Pacific,Sports & Outdoors,Retail Partner,186.1,2
ORD-10287,11-22-2024,CUST-1314,North America,electronics,Retail Partner,149.77,1
ORD-10194,2024-06-10,CUST-1206,North America,SPORTS & OUTDOORS,Marketplace,162.09,1
ORD-11708,2024-10-24,CUST-1145,Middle East,Electronics,Retail Partner,363.26,1
ORD-10071,28/09/2023,CUST-1068,Europe,Sports & Outdoors,Online,52.78,1
ORD-10658,2024-01-29,CUST-1373,North America,Electronics,Online,1015.14,3
ORD-11761,30/12/2023,CUST-1401,Asia Pacific,Home & Kitchen,Marketplace,153.72,1
ORD-10828,31/12/2024,CUST-1175,Middle East,Home & Kitchen,Online,226.02,3
ORD-10465,2023-12-10,CUST-1054,Africa,Office Supplies,Retail Partner,28.18,3
ORD-10718,14/05/2023,CUST-1113,Asia Pacific,Sports & Outdoors,Online,283.45,1
ORD-10669,2024-10-05,CUST-1146,Africa,Electronics,Marketplace,1083.17,1
ORD-10217,12/02/2024,CUST-1354,North America,Apparel,Retail Partner,131.94,2
ORD-11606,2024-11-14,CUST-1257,Asia Pacific,Electronics,Online,104.22,3
ORD-11073,2023-07-11,CUST-1132,North America,Apparel,Online,12.95,2
ORD-10172,20/08/2023,CUST-1316,North America,Electronics,Online,859.84,1
ORD-11793,2024-10-28,CUST-1024,Europe,Beauty & Personal Care,Online,35.59,2
ORD-11545,2023-01-18,CUST-1067,North America,Apparel,Retail Partner,63.35,2
ORD-10885,2023-06-02,CUST-1197,Europe,Apparel,Marketplace,144.69,1
ORD-10450,24/01/2024,CUST-1278,Europe,Office Supplies,Online,4.64,2
ORD-10116,2023-03-21,CUST-1225,North America,Apparel,Online,77.36,1
ORD-11723,30/05/2024,CUST-1393,Europe,sports & outdoors,Online,178.38,1
ORD-11780,2024-11-07,CUST-1365,Europe,Office Supplies,Online,73.97,1
ORD-10648,2024-12-21,CUST-1046,Africa,Home & Kitchen,Retail Partner,139.85,2
ORD-11787,2023-05-10,CUST-1371,Europe,Sports & Outdoors,Retail Partner,130.5,1
ORD-11152,05-13-2023,CUST-1480,North America,ELECTRONICS,Online,273.49,1
ORD-10004,2024-10-27,CUST-1101,Europe,Sports & Outdoors,Online,163.99,1
ORD-11537,02/12/2024,CUST-1423,Europe,Electronics,Marketplace,1118.65,1
ORD-11520,08-04-2024,CUST-1363,Asia Pacific,Home & Kitchen,Retail Partner,225.34,1
ORD-10046,2024-11-05,CUST-1049,Asia Pacific,Apparel,Retail Partner,121.41,2
ORD-10262,2023-12-03,CUST-1119,Africa,Sports & Outdoors,Online,46.8,1
ORD-11423,2023-02-16,CUST-1109,Europe,Sports & Outdoors,Retail Partner,208.77,2
ORD-10357,2023-01-02,CUST-1219,Africa,Home & Kitchen,Online,208.08,1
ORD-11333,08-06-2024,CUST-1153,Asia Pacific,Electronics,Retail Partner,849.76,1
ORD-10020,2023-11-19,CUST-1367,Asia Pacific,Sports & Outdoors,Online,50.81,3
ORD-10397,2024-05-05,CUST-1203,Asia Pacific,Home & Kitchen,Online,151.82,1
ORD-11689,2023-06-04,CUST-1251,North America,Electronics,Online,806.98,1
ORD-10501,2023-02-04,CUST-1304,Asia Pacific,Electronics,Retail Partner,138.06,1
ORD-10921,2024-11-21,CUST-1213,Africa,Electronics,Online,407.77,1
ORD-10370,2023-02-18,CUST-1399,Africa,Apparel,Online,43.87,1
ORD-10571,01-05-2024,CUST-1039,Europe,Apparel,Marketplace,92.17,1
ORD-11421,2024-11-25,CUST-1377,Europe,Sports & Outdoors,Retail Partner,197.84,2
ORD-10556,2024-03-23,CUST-1050,Asia Pacific,Beauty & Personal Care,Retail Partner,54.06,2
ORD-11416,2023-09-06,CUST-1023,Middle East,Apparel,Online,54.25,1
ORD-10298,2023-11-05,CUST-1104,North America,Apparel,Online,113.24,1
ORD-10489,2024-12-18,CUST-1176,,Electronics,Retail Partner,733.83,4
ORD-10374,2024-09-08,CUST-1220,Asia Pacific,Apparel,Online,126.39,1
ORD-11081,2024-06-13,CUST-1322,Middle East,Home & Kitchen,Online,182.95,1
ORD-11692,2024-05-21,CUST-1458,North America,electronics,Retail Partner,547.1,1
ORD-10179,08-26-2024,CUST-1320,Middle East,Home & Kitchen,Online,174.72,1
ORD-11678,2023-08-29,CUST-1476,Europe,Sports & Outdoors,Marketplace,246.06,1
ORD-10756,2023-04-01,CUST-1453,Europe,Apparel,Online,22.29,1
ORD-10578,2024-08-12,CUST-1495,Asia Pacific,Electronics,Online,952.59,1
ORD-11232,16/01/2023,CUST-1496,Asia Pacific,Apparel,Online,18.63,1
ORD-11037,03-07-2023,CUST-1045,North America,Home & Kitchen,Online,162.63,1
ORD-10328,2023-12-25,CUST-1072,Europe,Electronics,Online,1011.5,3
ORD-10392,2023-06-11,CUST-1153,Africa,Sports & Outdoors,Retail Partner,53.76,2
ORD-10720,03-18-2023,CUST-1469,Europe,office supplies,Retail Partner,49.68,2
ORD-10758,21/04/2023,CUST-1131,Africa,SPORTS & OUTDOORS,Marketplace,25.64,1
ORD-10898,2024-11-03,CUST-1366,Europe,Sports & Outdoors,Online,179.38,2
ORD-10109,2024-06-14,CUST-1356,Europe,Electronics,Online,486.65,1
ORD-10699,2023-11-11,CUST-1377,Africa,Electronics,Online,398.69,2
ORD-10925,30/11/2024,CUST-1146,North America,Home & Kitchen,Marketplace,158.44,3
ORD-10861,2023-04-27,CUST-1144,North America,Electronics,Online,941.35,1
ORD-11606,2024-11-14,CUST-1257,Asia Pacific,Electronics,Online,104.22,3
ORD-10671,2023-10-12,CUST-1078,Europe,Electronics,Retail Partner,483.73,1
ORD-11412,2023-08-05,CUST-1060,Europe,Electronics,Marketplace,869.5,1
ORD-11183,2023-01-12,CUST-1475,N. America,Sports & Outdoors,Online,76.39,3
ORD-11038,2024-01-29,CUST-1370,Asia Pacific,Home & Kitchen,Retail Partner,229.17,1
ORD-10095,11-17-2024,CUST-1377,Europe,sports & outdoors,Online,194.18,4
ORD-10351,2024-09-22,CUST-1229,,sports & outdoors,Online,295.39,1
ORD-10540,2023-09-16,CUST-1269,Europe,Home & Kitchen,Online,178.66,2
ORD-10586,2024-12-19,CUST-1184,North America,Home & Kitchen,Online,64.54,1
ORD-11476,01/10/2023,CUST-1459,N. America,Electronics,Retail Partner,776.67,1
ORD-10146,2023-06-06,CUST-1362,Africa,Apparel,Online,,1
ORD-10284,2024-05-08,CUST-1336,Europe,Electronics,Retail Partner,321.96,1
ORD-11133,2023-06-21,CUST-1007,North America,Apparel,Online,25.48,1
ORD-11555,2024-11-17,CUST-1094,Africa,Beauty & Personal Care,Online,58.74,1
ORD-10933,2023-07-18,CUST-1397,Africa,Beauty & Personal Care,Online,28.68,1
ORD-10983,2024-08-18,CUST-1416,Middle East,Apparel,Retail Partner,86.01,1
ORD-11201,2023-12-06,CUST-1011,North America,Home & Kitchen,Online,201.75,2
ORD-11588,02/02/2023,CUST-1487,Middle East,Office Supplies,Online,93.54,1
ORD-10705,2023-10-26,CUST-1121,Africa,Apparel,Online,137.59,1
ORD-11611,2023-12-11,CUST-1303,N. America,Electronics,Retail Partner,956.57,3
ORD-10308,27/04/2023,CUST-1324,Asia Pacific,Apparel,Online,124.23,2
ORD-11835,02-27-2024,CUST-1072,Europe,Beauty & Personal Care,Marketplace,24.03,2
ORD-11382,2023-04-05,CUST-1317,North America,electronics,Retail Partner,1022.41,1
ORD-11182,2023-08-21,CUST-1445,Africa,Electronics,Online,743.58,2
ORD-11262,01/08/2023,CUST-1285,North America,beauty & personal care,Online,17.64,1
ORD-11822,2024-10-07,CUST-1292,North America,Beauty & Personal Care,Online,19.4,2
ORD-11813,2023-10-18,CUST-1156,North America,Office Supplies,Online,10.84,1
ORD-10410,2024-10-28,CUST-1135,Middle East,Sports & Outdoors,Retail Partner,179.43,1
ORD-10948,2023-10-17,CUST-1370,North America,apparel,Online,31.95,1
ORD-10047,2024-10-31,CUST-1344,Europe,Electronics,Retail Partner,120.26,1
ORD-10111,27/06/2024,CUST-1341,North America,Electronics,Online,399.31,1
ORD-10687,07-03-2023,CUST-1076,Africa,Sports & Outdoors,Retail Partner,209.38,1
ORD-11259,20/05/2024,CUST-1451,Africa,Home & Kitchen,Online,134.36,1
ORD-10141,08/12/2024,CUST-1303,North America,Office Supplies,Online,60.75,1
ORD-10506,02-28-2024,CUST-1113,Europe,Office Supplies,Online,53.31,1
ORD-11116,28/06/2024,CUST-1380,Africa,Home & Kitchen,Marketplace,84.25,1
ORD-11650,2024-02-21,CUST-1329,North America,Home & Kitchen,Online,146.22,2
ORD-10728,2023-05-21,CUST-1196,,Electronics,Online,513.11,1
ORD-10984,2023-02-07,CUST-1108,North America,Apparel,Online,118.92,1
ORD-10344,2024-12-29,CUST-1052,North America,Sports & Outdoors,Online,,1
ORD-11027,07-30-2023,CUST-1335,North America,Home & Kitchen,Online,129.9,1
ORD-11177,2023-04-05,CUST-1153,Africa,Beauty & Personal Care,Online,50.07,1
ORD-11323,2024-03-21,CUST-1401,Europe,Home & Kitchen,Online,165.64,2
ORD-11810,01-16-2024,CUST-1060,Middle East,Home & Kitchen,Online,134.03,1
ORD-11489,2024-08-30,CUST-1248,Africa,Apparel,Online,135.09,1
ORD-11302,11-16-2023,CUST-1381,North America,Home & Kitchen,Online,136.25,3
ORD-10800,2023-05-18,CUST-1116,North America,Electronics,Marketplace,292.94,2
ORD-10341,2023-10-16,CUST-1236,North America,Beauty & Personal Care,Online,11.13,1
ORD-11511,01/06/2023,CUST-1203,North America,Apparel,Online,28.45,2
ORD-11377,2024-11-22,CUST-1236,Asia Pacific,Electronics,Marketplace,95.62,1
ORD-10275,12-19-2024,CUST-1050,North America,Home & Kitchen,Online,99.63,2
ORD-11642,2024-10-22,CUST-1010,North America,Apparel,Marketplace,77.39,1
ORD-10423,2024-10-31,CUST-1305,APAC,Beauty & Personal Care,Retail Partner,62.46,2
ORD-11750,2023-08-13,CUST-1259,North America,Electronics,Retail Partner,436.17,2
ORD-11263,2023-12-24,CUST-1334,Asia Pacific,Beauty & Personal Care,Retail Partner,34.58,2
ORD-10651,2024-05-04,CUST-1067,Europe,home & kitchen,Retail Partner,91.42,1
ORD-11659,2023-05-14,CUST-1332,North America,Home & Kitchen,Retail Partner,192.83,1
ORD-10945,2023-04-28,CUST-1004,Asia Pacific,Home & Kitchen,Retail Partner,88.83,3
ORD-11569,2024-03-14,CUST-1437,Europe,Electronics,Retail Partner,376.13,1
ORD-10263,2023-05-29,CUST-1141,Africa,Apparel,Online,64.73,1
ORD-10101,28/03/2024,CUST-1226,North America,Home & Kitchen,Online,177.24,1
ORD-10997,03-21-2023,CUST-1427,Middle East,Electronics,Online,95.7,1
ORD-11126,2023-09-14,CUST-1098,Asia Pacific,Apparel,Marketplace,50.16,1
ORD-10729,2024-10-07,CUST-1127,Europe,Apparel,Online,127.48,1
ORD-10893,2024-07-24,CUST-1018,Asia Pacific,Apparel,Retail Partner,41.82,1
ORD-10602,30/07/2023,CUST-1109,Europe,Sports & Outdoors,Online,44.36,1
ORD-11760,04/05/2023,CUST-1116,North America,Office Supplies,Online,25.41,1
ORD-11034,2024-06-04,CUST-1109,North America,Office Supplies,Online,35.71,1
ORD-10471,2023-05-24,CUST-1094,Africa,Electronics,Online,112.67,1
ORD-11598,2024-10-02,CUST-1013,Europe,Sports & Outdoors,Online,55.8,2
ORD-10060,2024-08-06,CUST-1455,Europe,Apparel,Online,86.39,3
ORD-10868,31/10/2023,CUST-1233,Asia Pacific,Electronics,Marketplace,325.02,1
ORD-11162,30/01/2024,CUST-1272,North America,Home & Kitchen,Online,117.47,2
ORD-10281,2024-11-17,CUST-1168,Asia Pacific,Apparel,Retail Partner,117.07,3
ORD-11345,2023-05-20,CUST-1223,Europe,Home & Kitchen,Retail Partner,176.18,2
ORD-10389,2023-05-06,CUST-1102,North America,Home & Kitchen,Online,101.73,1
ORD-10684,2024-01-12,CUST-1085,North America,Beauty & Personal Care,Marketplace,8.78,2
ORD-11169,15/09/2024,CUST-1165,Europe,Sports & Outdoors,Online,41.99,1
ORD-10867,2023-04-14,CUST-1370,Africa,Beauty & Personal Care,Marketplace,33.29,2
ORD-11280,16/10/2023,CUST-1353,Asia Pacific,Apparel,Retail Partner,77.54,1
ORD-10500,17/01/2023,CUST-1314,Africa,Sports & Outdoors,Online,194.96,1
ORD-11801,02/05/2024,CUST-1066,North America,Home & Kitchen,Retail Partner,155.04,1
ORD-10028,2024-10-18,CUST-1136,North America,Apparel,Retail Partner,12.32,1
ORD-11688,2024-03-22,CUST-1160,Africa,Beauty & Personal Care,Marketplace,22.43,1
ORD-10224,2024-02-26,CUST-1271,Asia Pacific,Home & Kitchen,Online,102.19,4
ORD-10734,2024-01-02,CUST-1271,Middle East,Beauty & Personal Care,Marketplace,15.69,1
ORD-10367,14/02/2023,CUST-1103,Europe,Electronics,Retail Partner,1108.25,1
ORD-10358,11/07/2023,CUST-1213,Europe,Sports & Outdoors,Online,68.65,2
ORD-11841,2023-04-14,CUST-1345,North America,Home & Kitchen,Online,54.21,1
ORD-10833,2023-11-11,CUST-1446,Asia Pacific,Apparel,Online,76.28,2
ORD-10830,2024-04-27,CUST-1049,Middle East,Electronics,Retail Partner,1019.79,1
ORD-11081,2024-06-13,CUST-1322,Middle East,Home & Kitchen,Online,182.95,1
ORD-10455,06/09/2023,CUST-1122,Asia Pacific,home & kitchen,Online,240.08,3
ORD-11166,2024-05-31,CUST-1205,Africa,Sports & Outdoors,Online,194.02,1
ORD-10098,2023-05-11,CUST-1283,North America,Electronics,Online,797.78,1
ORD-10802,05/08/2023,CUST-1226,North America,Apparel,Retail Partner,140.87,2
ORD-11033,2024-11-06,CUST-1442,North America,Electronics,Retail Partner,530.83,3
ORD-10981,2024-10-03,CUST-1134,Europe,sports & outdoors,Marketplace,146.32,2
ORD-11397,2024-06-11,CUST-1001,Africa,Sports & Outdoors,Online,157.62,3
ORD-10012,2023-03-23,CUST-1148,North America,Sports & Outdoors,Retail Partner,224.12,2
ORD-10330,2024-12-02,CUST-1359,North America,Sports & Outdoors,Online,155.23,1
ORD-11321,07/09/2023,CUST-1317,Asia Pacific,Sports & Outdoors,Retail Partner,67.27,2
ORD-10167,27/03/2024,CUST-1245,Asia Pacific,Beauty & Personal Care,Marketplace,54.41,1
ORD-10985,2024-10-31,CUST-1241,Europe,Office Supplies,Retail Partner,43.64,1
ORD-10964,2024-07-12,CUST-1200,North America,Sports & Outdoors,Online,249.51,4
ORD-10188,2023-06-29,CUST-1020,Europe,Electronics,Retail Partner,635.38,1
ORD-11808,14/01/2024,CUST-1286,Asia Pacific,Electronics,Online,499.96,1
ORD-10043,2024-06-10,CUST-1036,Europe,Electronics,Retail Partner,1188.86,1
ORD-11039,29/12/2024,CUST-1146,Europe,sports & outdoors,Retail Partner,202.2,2
